id,threat,claude_cat,claude_label,gpt_cat,gpt_label,manual_cat,manual_label,claude_gpt_agree,manual_claude_agree,manual_gpt_agree,all_three_agree
T-01,Prompt Injection,5,Privacy & Security,5.0,Privacy & Security,1,Malicious Actors & Misuse,True,False,False,False
T-02,Indirect Prompt Injection,5,Privacy & Security,5.0,Privacy & Security,1,Malicious Actors & Misuse,True,False,False,False
T-03,Sensitive Information Disclosure,5,Privacy & Security,5.0,Privacy & Security,5,Privacy & Security,True,True,True,True
T-04,Hallucination,4,Misinformation,4.0,Misinformation,4,Misinformation,True,True,True,True
T-05,Insecure Output Handling,5,Privacy & Security,5.0,Privacy & Security,5,Privacy & Security,True,True,True,True
T-06,System Prompt / Hidden Context Exposure,5,Privacy & Security,5.0,Privacy & Security,5,Privacy & Security,True,True,True,True
T-07,Vector / RAG Poisoning,5,Privacy & Security,5.0,Privacy & Security,4,Misinformation,True,False,False,False
T-08,Cost Denial-of-Service,5,Privacy & Security,5.0,Privacy & Security,7,Socioeconomic & Environmental Harms,True,False,False,False
T-09,Jailbreak / Safety Bypass,1,Malicious Actors & Misuse,1.0,Malicious Actors & Misuse,1,Malicious Actors & Misuse,True,True,True,True
T-10,IP Infringement,7,Socioeconomic & Environmental Harms,7.0,Socioeconomic & Environmental Harms,7,Socioeconomic & Environmental Harms,True,True,True,True
T-11,Goal Hijacking,5,Privacy & Security,2.0,"AI System Safety, Failures, and Limitations",1,Malicious Actors & Misuse,False,False,False,False
T-12,Tool Misuse / Excessive Agency,2,"AI System Safety, Failures, and Limitations",2.0,"AI System Safety, Failures, and Limitations",2,"AI System Safety, Failures, and Limitations",True,True,True,True
T-13,Identity and Privilege Abuse,5,Privacy & Security,5.0,Privacy & Security,5,Privacy & Security,True,True,True,True
T-14,Supply Chain Compromise,5,Privacy & Security,5.0,Privacy & Security,5,Privacy & Security,True,True,True,True
T-15,Unexpected Code Execution,5,Privacy & Security,5.0,Privacy & Security,5,Privacy & Security,True,True,True,True
T-16,Memory / State Poisoning,5,Privacy & Security,2.0,"AI System Safety, Failures, and Limitations",2,"AI System Safety, Failures, and Limitations",False,False,True,False
T-17,Insecure Inter-Agent Communication,5,Privacy & Security,5.0,Privacy & Security,5,Privacy & Security,True,True,True,True
T-18,Cascading Failure,2,"AI System Safety, Failures, and Limitations",2.0,"AI System Safety, Failures, and Limitations",2,"AI System Safety, Failures, and Limitations",True,True,True,True
T-19,Trust Exploitation,6,Human-Computer Interaction,6.0,Human-Computer Interaction,6,Human-Computer Interaction,True,True,True,True
T-20,Rogue Agents,2,"AI System Safety, Failures, and Limitations",2.0,"AI System Safety, Failures, and Limitations",2,"AI System Safety, Failures, and Limitations",True,True,True,True
T-21,MCP Server Compromise,5,Privacy & Security,5.0,Privacy & Security,5,Privacy & Security,True,True,True,True
T-22,Unauthorized MCP Server Exposure,5,Privacy & Security,5.0,Privacy & Security,5,Privacy & Security,True,True,True,True
T-23,MCP Context Manipulation,5,Privacy & Security,5.0,Privacy & Security,4,Misinformation,True,False,False,False
T-24,OAuth / Token Cascade,5,Privacy & Security,5.0,Privacy & Security,5,Privacy & Security,True,True,True,True
T-25,Model Evasion / KYC Bypass,1,Malicious Actors & Misuse,1.0,Malicious Actors & Misuse,1,Malicious Actors & Misuse,True,True,True,True
T-26,Data Poisoning,5,Privacy & Security,5.0,Privacy & Security,2,"AI System Safety, Failures, and Limitations",True,False,False,False
T-27,Model Extraction,5,Privacy & Security,5.0,Privacy & Security,5,Privacy & Security,True,True,True,True
T-28,Model Inversion / Membership Inference,5,Privacy & Security,5.0,Privacy & Security,5,Privacy & Security,True,True,True,True
T-29,Model Drift,2,"AI System Safety, Failures, and Limitations",2.0,"AI System Safety, Failures, and Limitations",2,"AI System Safety, Failures, and Limitations",True,True,True,True
T-30,Bias and Fairness Failures,3,Discrimination and Toxicity,3.0,Discrimination and Toxicity,3,Discrimination and Toxicity,True,True,True,True
